team_back,team_home,score,datetime
                Chile,                Argentina,                    1 - 1,2020-04-07 15:16:00
                Argentina,                Brazil,                    1 - 2,2020-04-07 15:19:00
                Spain,                Italy,                    0 - 0,2020-04-07 15:22:00
                Cameroon,                Croatia,                    1 - 1,2020-04-07 15:25:00
                South Korea,                Croatia,                    0 - 0,2020-04-07 15:28:00
                Greece,                Bosnia H,                    0 - 3,2020-04-07 15:31:00
                Republic of Ireland,                Sweden,                    1 - 0,2020-04-07 15:34:00
                Honduras,                Belgium,                    0 - 0,2020-04-07 15:37:00
                Spain,                Russia,                    1 - 0,2020-04-07 15:40:00
                Russia,                Holland,                    1 - 1,2020-04-07 15:43:00
                Russia,                Costa Rica,                    0 - 0,2020-04-07 15:46:00
                Ecuador,                Uruguay,                    3 - 0,2020-04-07 15:49:00
                Holland,                Portugal,                    1 - 1,2020-04-07 15:52:00
                Denmark,                Russia,                    0 - 1,2020-04-07 15:55:00
                Portugal,                France,                    0 - 0,2020-04-07 15:58:00
                Italy,                Holland,                    0 - 2,2020-04-07 16:01:00
                Brazil,                Greece,                    1 - 1,2020-04-07 16:04:00
                USA,                Ecuador,                    0 - 0,2020-04-07 16:07:00
                Czech Republic,                Italy,                    2 - 0,2020-04-07 16:10:00
                Portugal,                Holland,                    2 - 2,2020-04-07 16:13:00
                Bosnia H,                Holland,                    1 - 0,2020-04-07 16:16:00
                Poland,                England,                    2 - 1,2020-04-07 16:19:00
                Sweden,                Russia,                    2 - 1,2020-04-07 16:22:00
                Greece,                Russia,                    2 - 0,2020-04-07 16:25:00
Denmark,Czech Republic,1 - 0,2020-04-07 16:28:00
Australia,Cameroon,0 - 0,2020-04-07 16:31:00
Portugal,Croatia,3 - 1,2020-04-07 16:34:00
South Korea,Australia,2 - 1,2020-04-07 16:37:00
Portugal,Costa Rica,0 - 2,2020-04-07 16:40:00
Republic of Ireland,Holland,2 - 0,2020-04-07 16:43:00
Sweden,Republic of Ireland,1 - 0,2020-04-07 16:46:00
Portugal,Italy,0 - 2,2020-04-07 16:49:00
Italy,Cameroon,1 - 0,2020-04-07 16:52:00
Germany,Sweden,1 - 0,2020-04-07 16:55:00
Denmark,Sweden,1 - 2,2020-04-07 16:58:00
Germany,Italy,1 - 0,2020-04-07 17:01:00
Greece,England,3 - 0,2020-04-07 17:04:00
Russia,Germany,2 - 1,2020-04-07 17:07:00
Russia,Argentina,3 - 0,2020-04-07 17:10:00
Croatia,France,2 - 0,2020-04-07 17:13:00
Russia,Algeria,3 - 0,2020-04-07 17:16:00
Australia,Belgium,1 - 0,2020-04-07 17:19:00
Switzerland,Belgium,3 - 1,2020-04-07 17:22:00
Poland,Greece,3 - 1,2020-04-07 17:25:00
Russia,England,0 - 1,2020-04-07 17:28:00
Germany,Croatia,0 - 3,2020-04-07 17:31:00
Holland,Poland,1 - 0,2020-04-07 17:34:00
Greece,Denmark,0 - 0,2020-04-07 17:37:00
Australia,Italy,1 - 0,2020-04-07 17:40:00
Belgium,Spain,1 - 0,2020-04-07 17:43:00
Croatia,Portugal,1 - 0,2020-04-07 17:46:00
Czech Republic,Sweden,0 - 1,2020-04-07 17:49:00
Holland,Spain,1 - 1,2020-04-07 17:52:00
USA,Portugal,2 - 0,2020-04-07 17:55:00
Republic of Ireland,Greece,3 - 0,2020-04-07 18:01:00
Uruguay,Australia,1 - 0,2020-04-07 18:04:00
Poland,Holland,1 - 0,2020-04-07 18:07:00
England,Nigeria,3 - 0,2020-04-07 18:10:00
Nigeria,Colombia,1 - 0,2020-04-07 18:13:00
Mexico,Greece,1 - 0,2020-04-07 18:16:00
Greece,France,0 - 2,2020-04-07 18:19:00
Poland,Spain,0 - 0,2020-04-07 18:22:00
France,Poland,0 - 1,2020-04-07 18:25:00
Sweden,England,1 - 1,2020-04-07 18:28:00
England,Czech Republic,2 - 1,2020-04-07 18:31:00
Germany,Holland,3 - 1,2020-04-07 18:34:00
England,Croatia,1 - 0,2020-04-07 18:37:00
Ukraine,Croatia,0 - 1,2020-04-07 18:40:00
Ukraine,Republic of Ireland,1 - 0,2020-04-07 18:43:00
Uruguay,France,2 - 0,2020-04-07 18:46:00
Brazil,Mexico,1 - 0,2020-04-07 18:49:00
Iran,Greece,3 - 1,2020-04-07 18:52:00
Switzerland,Spain,1 - 1,2020-04-07 18:55:00
Spain,Denmark,1 - 1,2020-04-07 18:58:00
                Italy,                Croatia,                    1 - 1,2020-04-07 19:01:00
                Chile,                Cameroon,                    1 - 2,2020-04-07 19:04:00
                Denmark,                Sweden,                    2 - 1,2020-04-07 19:07:00
                Germany,                Croatia,                    2 - 2,2020-04-07 19:10:00
                Portugal,                Russia,                    0 - 1,2020-04-07 19:13:00
                Portugal,                England,                    0 - 2,2020-04-07 19:16:00
                Ukraine,                England,                    2 - 0,2020-04-07 19:19:00
                Ghana,                Greece,                    2 - 1,2020-04-07 19:22:00
                Russia,                Sweden,                    3 - 1,2020-04-07 19:25:00
                Russia,                Denmark,                    1 - 1,2020-04-07 19:28:00
                France,                Croatia,                    1 - 2,2020-04-07 19:31:00
                Croatia,                South Korea,                    2 - 1,2020-04-07 19:34:00
                Bosnia H,                Japan,                    2 - 1,2020-04-07 19:37:00
